epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.024,0.90071,1.66227,1.1673,0.67929,0.61401,0.65919,0.47741,0.96315,1.60483,1.32831,0.000549493,0.000549493,0.000549493
2,52.8708,1.00328,1.29026,1.23228,0.36871,0.41071,0.32264,0.16069,1.32823,4.01081,1.65461,0.00110151,0.00110151,0.00110151
3,79.1869,1.08568,1.29836,1.28754,0.38253,0.59547,0.4875,0.28516,1.31301,1.88054,1.56829,0.00164986,0.00164986,0.00164986
4,104.849,1.06634,1.25576,1.27377,0.45618,0.67861,0.60466,0.40885,1.15274,1.78435,1.45631,0.0016505,0.0016505,0.0016505
5,130.821,1.06697,1.24425,1.25893,0.63102,0.65832,0.64401,0.45558,1.11549,1.49558,1.38796,0.001645,0.001645,0.001645
6,155.849,0.97992,1.11083,1.2321,0.55982,0.49667,0.51945,0.36899,1.12875,1.43977,1.33815,0.00163949,0.00163949,0.00163949
7,180.511,0.97376,1.04084,1.21119,0.71083,0.63985,0.76525,0.58533,0.92315,1.10053,1.26459,0.00163399,0.00163399,0.00163399
8,205.477,1.00531,1.05942,1.22851,0.72711,0.67582,0.71701,0.51893,1.07804,1.13592,1.3514,0.00162849,0.00162849,0.00162849
9,230.592,0.97347,1.05699,1.20059,0.70201,0.7342,0.79555,0.57837,0.96249,0.93311,1.32712,0.00162299,0.00162299,0.00162299
10,255.635,0.97011,1.02426,1.19841,0.70603,0.8386,0.85116,0.63106,0.91725,0.88415,1.2284,0.00161749,0.00161749,0.00161749
11,280.966,0.93655,0.94996,1.16738,0.88206,0.71429,0.8313,0.64573,0.8318,0.83962,1.16601,0.00161199,0.00161199,0.00161199
12,306.188,0.89152,0.91027,1.15005,0.79367,0.77659,0.85652,0.65201,0.85551,0.80669,1.16721,0.00160649,0.00160649,0.00160649
13,331.9,0.92868,0.91617,1.15467,0.8199,0.81173,0.85169,0.668,0.84171,0.81181,1.14279,0.00160099,0.00160099,0.00160099
14,357.659,0.91541,0.92493,1.16157,0.89367,0.80151,0.88329,0.67868,0.8998,0.70831,1.1924,0.00159549,0.00159549,0.00159549
15,382.95,0.8746,0.86101,1.13742,0.78375,0.81818,0.85574,0.66568,0.86614,0.77209,1.17027,0.00158998,0.00158998,0.00158998
16,407.429,0.882,0.83724,1.15208,0.85313,0.75278,0.82141,0.6374,0.86715,0.78686,1.19331,0.00158448,0.00158448,0.00158448
17,432.21,0.86315,0.81256,1.14001,0.84116,0.78365,0.84988,0.68576,0.78205,0.72714,1.09861,0.00157898,0.00157898,0.00157898
18,456.99,0.87611,0.82492,1.14895,0.77039,0.8659,0.87417,0.67626,0.79904,0.91039,1.11673,0.00157348,0.00157348,0.00157348
