epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,990.659,0.76451,0.6221,1.05996,0.88842,0.7919,0.89468,0.72496,0.81654,0.61047,1.10922,0.00144145,0.00144145,0.00144145
43,1014.11,0.76161,0.61422,1.06184,0.81785,0.87077,0.90928,0.73238,0.74854,0.58807,1.06034,0.00143595,0.00143595,0.00143595
44,1037.08,0.74512,0.60592,1.05497,0.81425,0.83171,0.89977,0.72427,0.74618,0.64855,1.0631,0.00143045,0.00143045,0.00143045
45,1060.88,0.7613,0.61373,1.05431,0.86228,0.8489,0.87956,0.71907,0.78913,0.6107,1.11038,0.00142495,0.00142495,0.00142495
46,1083.9,0.74446,0.62254,1.05602,0.84507,0.86813,0.8879,0.71286,0.77035,0.58799,1.09665,0.00141945,0.00141945,0.00141945
47,1107.09,0.74387,0.62013,1.06109,0.95011,0.80774,0.89515,0.70972,0.75518,0.61606,1.08794,0.00141395,0.00141395,0.00141395
48,1130.3,0.74564,0.59868,1.06257,0.92379,0.8047,0.89672,0.7498,0.68644,0.62314,1.02284,0.00140845,0.00140845,0.00140845
49,1153.71,0.74315,0.59273,1.05987,0.86378,0.8489,0.90168,0.73818,0.73243,0.57436,1.05856,0.00140295,0.00140295,0.00140295
50,1177.13,0.74046,0.58456,1.05131,0.88282,0.81828,0.88869,0.74042,0.73703,0.58671,1.07278,0.00139745,0.00139745,0.00139745
51,1200.7,0.74755,0.57865,1.04772,0.88566,0.80975,0.88919,0.74015,0.74259,0.61081,1.0783,0.00139195,0.00139195,0.00139195
52,1224.2,0.74861,0.57511,1.05962,0.87285,0.81306,0.88898,0.7377,0.72369,0.59254,1.06361,0.00138644,0.00138644,0.00138644
53,1247.68,0.73308,0.59091,1.05586,0.88598,0.82413,0.90324,0.73987,0.74294,0.65026,1.07544,0.00138094,0.00138094,0.00138094
54,1270.95,0.73579,0.56229,1.05342,0.90918,0.7646,0.89202,0.72853,0.72648,0.594,1.05119,0.00137544,0.00137544,0.00137544
55,1294.17,0.73046,0.57526,1.05094,0.92146,0.81113,0.90314,0.73268,0.74241,0.59036,1.06849,0.00136994,0.00136994,0.00136994
56,1317.38,0.75305,0.56469,1.0531,0.8246,0.86987,0.91165,0.74014,0.71748,0.55663,1.05015,0.00136444,0.00136444,0.00136444
57,1341.36,0.71205,0.54932,1.04056,0.94248,0.80151,0.88569,0.71045,0.74194,0.59618,1.08035,0.00135894,0.00135894,0.00135894
58,1365.3,0.72227,0.54538,1.038,0.86299,0.83015,0.89734,0.74056,0.73597,0.57114,1.05024,0.00135344,0.00135344,0.00135344
59,1389.15,0.72396,0.5549,1.04155,0.8698,0.84142,0.90486,0.74421,0.7281,0.61929,1.04325,0.00134794,0.00134794,0.00134794
60,1413.05,0.71515,0.53172,1.04586,0.89995,0.79717,0.89243,0.71656,0.73107,0.57984,1.04622,0.00134244,0.00134244,0.00134244
61,1436.46,0.72052,0.54371,1.03342,0.91443,0.81113,0.91462,0.74269,0.72093,0.54725,1.03586,0.00133693,0.00133693,0.00133693
62,1459.54,0.73773,0.56119,1.04621,0.84965,0.87787,0.90737,0.72283,0.75226,0.58316,1.05473,0.00133143,0.00133143,0.00133143
63,1482.96,0.72008,0.55675,1.03586,0.89735,0.85554,0.91068,0.74979,0.71099,0.538,1.04639,0.00132593,0.00132593,0.00132593
64,1506.34,0.70633,0.53907,1.03442,0.862,0.86131,0.89483,0.72752,0.74693,0.57379,1.08753,0.00132043,0.00132043,0.00132043
65,1529.61,0.73256,0.55108,1.0513,0.88744,0.8489,0.90187,0.74358,0.71094,0.5626,1.04263,0.00131493,0.00131493,0.00131493
66,1553.37,0.697,0.52586,1.02836,0.82988,0.85852,0.89541,0.73333,0.72498,0.58765,1.03534,0.00130943,0.00130943,0.00130943
67,1576.64,0.73455,0.53844,1.03854,0.9226,0.75275,0.90427,0.73456,0.72479,0.60374,1.07085,0.00130393,0.00130393,0.00130393
68,1600.11,0.71868,0.52679,1.03228,0.93955,0.77721,0.90457,0.73272,0.71631,0.56098,1.05037,0.00129843,0.00129843,0.00129843
